text,category
"Congratulations! You've won a $1,000 gift card. Click here to claim your prize.",Spam
"Hi John, can we schedule a meeting for next week?",Business
"Limited time offer! Buy one, get one free. Don't miss out!",Spam
"Dear customer, your account has been updated. Please review the changes.",Important
"Your subscription has been confirmed. Thank you for joining us!",Welcome
"Alert: Unusual activity detected on your account. Verify now.",Important
"Special promotion just for you! Get 50% off on all items.",Spam
"Reminder: Your appointment is scheduled for tomorrow at 10 AM.",Business
"Thank you for your purchase. Your order will be shipped shortly.",Confirmation
"Win big with our new lottery game. Enter now!",Spam
"Meeting agenda for next week. Please review and confirm.",Business
"Account notice: Your payment is overdue. Please pay now.",Important
"Your account registration is complete. Welcome aboard!",Welcome
"Flash sale! Up to 70% off on selected items.",Spam
"Your password has been successfully changed.",Important
"Update: New features are available in your app.",Important
"Congratulations on your promotion! Enjoy the benefits.",Business
"Survey: We value your feedback. Please take a moment to complete our survey.",Business
"Don't miss our webinar on the latest industry trends.",Business
"New blog post: How to stay productive while working from home.",Business
"Important: Your subscription will expire soon. Renew now to continue your service.",Important
"Limited time offer! Save big on our new product line.",Spam
"Reminder: Your upcoming event is scheduled for this weekend.",Personal
"Thank you for your recent purchase. Your invoice is attached.",Confirmation
"Exclusive offer: Get a free trial of our premium service.",Spam
"Notice: Your recent request has been processed successfully.",Important
"Invitation: Join us for a networking event next month.",Business
"Your order has been shipped. Track your shipment here.",Confirmation
"Important update: Your account settings have been changed.",Important
"Congratulations on winning our giveaway! Claim your prize here.",Spam
"Quick reminder: Your meeting with the team is at 3 PM today.",Business
"Action required: Verify your email address to complete registration.",Important
"Upcoming sale: Don't miss out on our biggest discounts of the year.",Spam
"Special offer just for you! Enjoy 20% off on your next purchase.",Spam
"Your reservation has been confirmed. See you soon!",Personal
"Notification: Your request has been received and is being processed.",Important
"Great news! You've been accepted into our program.",Business
"Invitation: Attend our free webinar on marketing strategies.",Business
"Alert: Unusual login attempt detected on your account.",Important
"Exclusive deal: Get an additional discount on all items.",Spam
"Important: Your account security settings have been updated.",Important
"Reminder: Your payment is due soon. Please make sure to pay on time.",Important
"Congratulations! You've been selected for a special offer.",Spam
"Notice: Your membership has been renewed successfully.",Confirmation
"Your recent purchase was successful. Thank you for shopping with us.",Confirmation
"Invitation: Join us for our annual conference on technology.",Business
"Reminder: Your account balance is low. Please top up soon.",Important
"Special announcement: We're launching a new product line.",Business
"Alert: Your subscription plan has been upgraded.",Important
"Your feedback is valuable to us. Please take a moment to share your thoughts.",Personal
"Congratulations! You've won a prize in our monthly draw.",Spam
"Important: Your recent transaction was successful.",Confirmation
"Reminder: Your upcoming appointment is confirmed for next week.",Personal
"Your order has been delivered. We hope you enjoy your purchase.",Confirmation
"Invitation: Attend our exclusive VIP event next month.",Business
